Name,Overall Rank,Nationality,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,,,,,,,Total Score,,,,,,,0,,Apparatus,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar,Floor,Pommel Horse,Rings,Vault,PBars,High Bar
Jo Calvo Moreno,11,COL,13.866,13.800,13.333,13.866,13.566,14.600,,,,,,,13.866,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Braegger,12,SUI,14.233,13.266,13.600,14.433,14.500,12.700,,,,,,,14.233,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artur Davtyan,13,ARM,13.333,13.400,14.200,14.900,12.733,13.766,,,,,,,13.333,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garam Bae,14,KOR,13.000,13.533,12.866,14.133,13.400,13.600,,,,,,,13,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caio Souza,15,BRA,13.900,11.566,14.166,14.500,12.133,14.266,,,,,,,13.9,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marios Georgiou,16,CYP,12.500,12.300,13.500,14.000,13.833,14.100,,,,,,,12.5,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Tvorogal,17,LTU,12.900,12.866,13.133,13.900,13.333,14.100,,,,,,,13.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipp Herder,18,GER,14.433,14.800,13.800,14.900,14.400,14.600,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddy Yusof,19,SUI,14.433,14.800,13.800,14.900,14.400,14.600,,,,,,,13.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferhat Arican,20,TUR,14.433,14.800,13.800,14.900,14.400,14.600,,,,,,,11.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zachary Clay,21,CAN,14.433,14.800,13.800,14.900,14.400,14.600,,,,,,,13.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomas Kuzmickas,22,LTU,14.433,14.800,13.800,14.900,14.400,14.600,,,,,,,14.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Cerda,23,MEX,14.433,14.800,13.800,14.900,14.400,14.600,,,,,,,13.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Plata Rodriguez,24,SP,14.433,14.800,13.800,14.900,14.400,14.600,,,,,,,13.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
